gene,GSM2677508,GSM2677509,GSM2677510,GSM2677511,GSM2677512,GSM2677513,GSM2677514,GSM2677515,GSM2677516,GSM2677517
ENSG00000114268,0.4804,0.4523,0.5997,0.7883,0.5816,0.5767,0.681,0.6324,0.6551,0.6399
ENSG00000114270,4.1846,5.0411,8.8239,5.0238,2.8285,1.9133,3.8301,2.7975,6.1362,6.3137
ENSG00000114279,1.2454,0.8147,0.3678,1.3247,0.8214,0.6338,0.6098,0.5256,0.5471,2.2081
ENSG00000114302,3.3697,3.9152,2.715,2.6296,3.0109,3.4763,2.9049,2.5721,2.5289,3.0167
ENSG00000114315,1.2778,1.6536,1.5488,1.2385,0.7401,1.3243,2.274,4.1838,1.6339,2.6307
ENSG00000114316,2.0228,2.8388,3.8834,3.1952,2.5447,2.5938,3.3431,3.0454,2.9459,2.5391
ENSG00000114331,1.7204,1.5667,2.9037,2.922,2.163,1.8404,2.8289,1.8654,1.8089,1.9498
ENSG00000114346,0.2422,0.3725,0.3386,0.3861,0.3585,0.644,0.3233,0.3213,0.3492,0.2726
ENSG00000114349,0.0015,0.0077,0.0109,0.0059,0.0054,0.0104,0.0027,0.0061,0.0317,0.0162
ENSG00000114353,18.105,21.7265,30.2606,21.0369,16.3476,18.4979,20.6825,26.9098,23.3901,20.6864
ENSG00000114354,3.1505,2.3773,3.1599,2.7637,2.7412,1.951,2.9626,3.1421,2.5223,3.0002
ENSG00000114374,0.2367,0.2828,0.1488,0.1272,0.1366,0.2701,0.1182,0.1532,0.1638,0.1239
